Location,Name,Date,ID
,Imbarena Game Ring Cup Final,1/19/14,1289
,CyberGamer Pro League Season 3,1/20/14,1290
,Assembly Winter 2014,1/31/14,1291
,EMS One Katowice CIS Qualifier Cup #2,1/22/14,1292
,EMS One Katowice Polish Qualifier Cup #2,1/22/14,1293
,FACEIT January Championship 2014,1/23/14,1294
,ESEA Open Season 15,1/27/14,1295
,ESEA Open Season 15,1/27/14,1295
,EMS One Katowice Nordic Qualifier Cup #2,1/25/14,1296
,EMS One Katowice French Qualifier Cup #2,1/25/14,1297
,CEVO Main Season 3,1/28/14,1298
,EMS One Katowice UK Qualifier Cup #2,1/31/14,1299
,EMS One Katowice Polish Qualifier Cup #3,2/1/14,1300
,EMS One Katowice German Qualifier Cup #2,2/1/14,1301
,EMS One Katowice CIS Qualifier Cup #3,2/1/14,1302
,EMS One Katowice Nordic Regional Finals,2/7/14,1303
,EMS One Katowice French National Finals,2/7/14,1304
,EMS One Katowice CIS Qualifier Cup #4,2/7/14,1305
,EMS One Katowice Polish Qualifier Cup #4,2/7/14,1306
,EMS One Katowice UK National Finals,2/10/14,1308
,EMS One Katowice Polish National Finals,2/10/14,1309
,Fnatic FragOut League Season 3,2/12/14,1310
,EMS One Katowice German National Finals,2/14/14,1311
,EMS One Katowice CIS Regional Finals,2/14/14,1312
,SteelSeries CS:GO Calling,2/16/14,1313
,epic.TWELVE,2/16/14,1314
,ESL Pro Series Germany Spring 2014 Cup #1,2/17/14,1315
,EMS One Katowice European Qualifier #1,2/18/14,1316
,SLTV StarSeries IX,2/28/14,1317
,DreamHack Stockholm SteelSeries CS:GO Invitational 2014,2/21/14,1318
,ESL Pro Series Germany Spring 2014 Cup #2,2/24/14,1320
,EMS One Katowice European Finals,2/25/14,1321
,CS Forever: London,2/28/14,1322
,Fragbite Masters 2014 Qualifier #1,3/1/14,1323
,CEVO Professional Season 4,3/3/14,1324
,Fragbite Masters 2014 Qualifier #2,3/3/14,1325
,Gfinity Alienware Pro League Season 1,3/4/14,1327
,GSL Egamingbets Cup,3/5/14,1328
,Gaming.dk League by SteelSeries Season 8,3/4/14,1329
,Fragbite Masters 2014 Qualifier #3,3/5/14,1330
,Fragbite Masters 2014 Qualifier #4,3/7/14,1331
,Fragbite Masters 2014,3/8/14,1332
,EMS One Katowice 2014,3/13/14,1333
,ESEA Invite Season 16 Europe,3/19/14,1334
,East Asian Championship 2014,3/22/14,1335
,Gamermag Open #1,3/23/14,1336
,FACEIT March Championship 2014,3/26/14,1337
,Voronezh Cup Qualifier #3,3/30/14,1338
,BOT World Championship 2014,4/5/14,1339
,Voronezh Cup Qualifier #4,4/6/14,1340
,ESL Pro Series Germany Spring 2014,5/10/14,1341
,Gaming.dk League by SteelSeries Season 8 Finals,4/12/14,1342
,Voronezh Cup 2014,4/12/14,1343
,Vox Play #1,4/13/14,1344
,Copenhagen Games 2014,4/18/14,1345
,ESEA Invite Season 16 North America,4/15/14,1346
,Copenhagen Games 2014 female,4/18/14,1347
,Insomnia 51,4/20/14,1348
,1Life Fraglider Invitational,4/26/14,1349
,E-sport-bets.com 3rd Anniversary Cup,4/25/14,1351
,Newmen 5Eplay ESports Masters,4/25/14,1352
,eSportsventure Cup,4/28/14,1353
,FACEIT Spring League Open Qualifier,4/27/14,1354
,SLTV ProSeries IX,4/28/14,1355
,FACEIT Spring League Closed Qualifier,4/28/14,1356
,FACEIT Spring League 2014,4/30/14,1357
,SLTV StarSeries IX Finals,5/2/14,1358
,ESPORTSM 2013/2014 - Qualifier #6 Stockholm,5/3/14,1359
,SoCal Revival #2,5/3/14,1360
,ESL UK Community Challenge S1 Cup #1,5/6/14,1361
,Hitbox Arena Championship,5/13/14,1362
,ESPORTSM 2013/2014 - Qualifier #7,5/12/14,1363
,ESL UK Community Challenge S1 Cup #2,5/13/14,1364
,Mikz Challenge,5/18/14,1365
,ESL UK Community Challenge S1 Cup #3,5/20/14,1366
,DreamHack Summer 2014 pre-qualifier #1,5/21/14,1367
,GO4Balkan Charity Tournament,5/24/14,1368
,Gaming Challenge 2014,5/25/14,1369
,DreamHack Summer 2014 pre-qualifier #3,5/25/14,1370
,DreamHack Summer 2014 pre-qualifier #2,5/26/14,1371
,ESL Pro Series Poland Season 8 Qualifier #1,5/26/14,1372
,DreamHack Summer 2014,6/14/14,1373
,ESL UK Community Challenge S1 Cup #4,5/27/14,1374
,Vox Play Battlegrounds,6/1/14,1375
,DreamHack Summer 2014 Closed Qualifier,5/30/14,1376
,BirdieLAN 24,5/30/14,1377
,ESPORTSM 2013/2014 - Qualifier #8 Gothenburg,5/31/14,1378
,ESL Pro Series Poland Season 8,6/2/14,1379
,ESL UK Community Challenge S1 Cup #5,6/3/14,1381
,Gaming.dk League by SteelSeries Season 9 Finals,6/7/14,1382
,ASUS ROG Portugal Qualifier #3,6/8/14,1383
,ESEA Intermediate Season 16 Europe,6/9/14,1384
,ESL UK Community Challenge S1 Cup #6,6/10/14,1385
,ESPORTSM 2013/2014 Finals,6/15/14,1387
,DreamHack Summer 2014 BYOC,6/14/14,1388
,CIS Rising League Season 1,6/17/14,1389
,ESEA Invite Season 16 Global Finals,6/28/14,1390
,Team Dignitas CS:GO SCAN Invitational,6/22/14,1392
,G3 Qualifier #1,6/22/14,1393
,ESL Pro Series Germany Summer 2014 Cup #2,6/23/14,1394
,SLTV StarSeries X,6/25/14,1396
,ESEA Invite Season 16 All-Star,6/27/14,1397
,F3 Academy League,6/26/14,1398
,Plantronics CS:GO UK Open,6/26/14,1399
,G3 Qualifier #2,6/27/14,1400
,Areena #4 by SteelSeries,6/28/14,1401
,Killing Spree,6/29/14,1402
,ESL UK SteelSeries Community Challenge S1 Finals,6/30/14,1403
,ESEA Invite Season 17 North America,7/24/14,1404
,ESL One Cologne 2014 North pre-qualifier,6/30/14,1405
,CEVO Professional Season 5 Placement,7/1/14,1406
,IronGaming,7/5/14,1408
,ESL One Cologne 2014 South-West pre-qualifier,7/2/14,1409
,Telkom Do Gaming League Winter 2014,7/6/14,1410
,ESL Pro Series Poland Season 8 Finals,7/6/14,1411
,GameGune 2014,7/4/14,1412
,ESL Pro Series Germany Summer 2014 Cup #4,7/7/14,1413
,Assembly Summer 2014 qualifier #1,7/8/14,1414
,ESL One Cologne 2014 Oceanic qualifier,7/20/14,1415
,5eplay Steelseries League Season 3,7/13/14,1417
,Hitbox Arena Showdown,7/16/14,1418
,ESL One Cologne 2014 South-East pre-qualifier,7/14/14,1419
,CEVO Professional Season 5,7/15/14,1420
,Caseking of the Hill #1,7/16/14,1422
,ESL One Cologne 2014 North American qualifier,7/17/14,1423
,DreamHack Valencia 2014,7/18/14,1424
,DreamHack Valencia 2014 qualifier,7/17/14,1425
,epic.THIRTEEN,7/18/14,1426
,ESWC 2014 North America,7/18/14,1427
,ESEA Invite Season 17 Europe,8/7/14,1428
,Caseking of the Hill #2,7/23/14,1429
,ESL One Cologne 2014 Open pre-qualifier,7/22/14,1430
,ESL UK Community Challenge S2 Cup #1,7/22/14,1431
,ESL One Cologne 2014 European Finals,7/26/14,1432
,Team Dignitas SCAN CS:GO UK Invitational,7/27/14,1433
,ESL One Cologne 2014 Indian qualifier,7/27/14,1435
,FACEIT North American Championship,7/28/14,1436
,Gfinity 3,8/2/14,1437
,ASUS ROG Summer 2014,7/31/14,1438
,ESL UK Community Challenge S2 Cup #2,7/29/14,1439
,Caseking of the Hill #3,7/30/14,1440
,EIZO Challenge 2014,7/31/14,1441
,ESL Pro Series Germany Summer 2014,8/4/14,1443
,ESL One Cologne 2014,8/14/14,1444
,ESL UK Community Challenge S2 Cup #3,8/5/14,1445
,Caseking of the Hill #4,8/6/14,1446
,FACEIT League 2 EU pre-qualifier #2,8/10/14,1448
,European Championship 2014 Qualification Round 1,8/12/14,1449
,ESL UK Community Challenge S2 Cup #4,8/12/14,1450
,ESL UK Community Challenge S2 Cup #5,8/19/14,1451
,Hitbox Arena Championship 2,8/19/14,1452
,European Championship 2014 Qualification Round 2,8/22/14,1453
,Caseking of the Hill #5,8/21/14,1454
,Romanian eSports Championship 4,8/21/14,1455
,SLTV ProSeries X,8/22/14,1456
,FACEIT League 2 EU pre-qualifier #3,8/23/14,1457
,Insomnia 52,8/24/14,1458
,FACEIT League 2 EU pre-qualifier #4,8/24/14,1459
,FACEIT League 2 EU Closed Qualifier,8/25/14,1461
,FACEIT League 2 NA Closed Qualifier,8/26/14,1462
,ESL Pro Series Poland Season 9 Qualifier,8/26/14,1463
,SLTV StarSeries X Finals,8/30/14,1464
,Caseking of the Hill #6,8/27/14,1465
,CS:GO Legends Series #1,9/1/14,1466
,nAvTV Sunday Series August Cup 2014,8/31/14,1468
,European Championship 2014,9/4/14,1469
,FACEIT League EU Season 2,9/3/14,1470
,FACEIT League NA Season 2,9/4/14,1471
,Caseking of the Hill #7,9/9/14,1472
,ESL UK Community Challenge S2 Cup #6,9/2/14,1473
,ESL Pro Series Germany Summer 2014 LAN Finals,9/6/14,1474
,CS:GO Legends Series #2,9/8/14,1475
,Hitbox Arena Championship 3,9/10/14,1477
,ESWC 2014 France Vakarm.net pre-qual #1,9/14/14,1478
,ESWC 2014 China Closed Qualifier,9/11/14,1479
,SLTV StarSeries XI,9/14/14,1480
,DreamHack Stockholm 2014 FACEIT qualifier,9/15/14,1481
,Game Show CS:GO League,9/15/14,1482
,ESL UK SteelSeries Community Challenge S2 Finals,9/15/14,1483
,Millenium Showmatch,9/16/14,1484
,Caseking of the Hill #8,9/16/14,1485
,CS:GO Legends Series #4,10/20/14,1487
,ESL Pro Series Poland Season 9,9/21/14,1488
,Fragbite Masters Season 3 Qualifier #1,9/23/14,1489
,DreamHack Stockholm CS:GO Invitational 2014,9/25/14,1490
,Caseking of the Hill #9,9/24/14,1491
,Fragbite Masters Season 3 Qualifier #2,9/28/14,1492
,CS:GO Legends Series #3,10/13/14,1493
,Gamers League 2014 CS:GO Season 2,9/28/14,1494
,ESWC 2014 France Vakarm.net pre-qual #2,9/28/14,1495
,X5 Mega Arena CS:GO,9/28/14,1496
,Areena #5 by ROCCAT,10/4/14,1497
,Areena #6 by ROCCAT,10/5/14,1498
,Fragbite Masters Season 3,10/1/14,1500
,ESWC 2014 China LAN Qualifier,10/3/14,1501
,Game Show CS:GO League LAN Finals,10/3/14,1502
,ESWC 2014 European Qualifier,10/4/14,1503
,MR 2014,10/4/14,1504
,GIGACON 2014,10/4/14,1505
,MondoGames CS:GO Championship Season One,10/5/14,1506
,ESWC 2014 Norway,10/5/14,1507
,ESWC 2014 Portugal Qualifier,10/5/14,1508
,Millenium Showmatch #2,10/7/14,1509
,ESWC 2014 India,10/7/14,1510
,CEVO Professional Season 5 LAN Finals,10/10/14,1512
,ESWC 2014 Russia &amp; Ukraine Qualifier,10/11/14,1513
,Telkom Gaming CS:GO Championships 2014,10/11/14,1514
,ESWC 2014 Denmark,10/12/14,1515
,SLTV StarSeries XI Finals,10/18/14,1516
,BenQ All-Star Showmatch #1,10/19/14,1517
Australia,CyberGamer Pro League Season 2 Winter Finals,10/18/14,1518
,DreamHack Winter 2014 EU pre-qualifier #1,10/18/14,1519
,DreamHack Winter 2014 EU pre-qualifier #2,10/19/14,1520
,FACEIT League Season 2 Finals,10/24/14,1521
,DreamHack Winter 2014 NA Closed Qualifier,10/21/14,1522
,DreamHack Winter 2014 EU Closed Qualifier,10/21/14,1523
,LVP Gamergy Qualifier #1,10/22/14,1524
,John Wick CS:GO Invitational,10/23/14,1525
,ESWC 2014,10/30/14,1526
,ESWC 2014 France,10/29/14,1527
,ESWC 2014 Female,10/30/14,1529
,ESEA Premier Season 17 North America,11/4/14,1530
,LVP Gamergy Qualifier #2,11/4/14,1531
"Sydney, Australia",Azubu Australian Masters,11/7/14,1532
,CS:GO Legends Series NA #1,11/10/14,1533
,RGN Summer&apos;s End Tournament,11/10/14,1534
,Go4CS:GO Cup #120,11/9/14,1535
,ESL Pro Series Germany Winter 2014,11/10/14,1536
,ESEA Main Season 17 Europe,11/11/14,1537
,Caseking King of Kings,11/11/14,1539
,ESL Pro League Winter 2014/15 UK Qualifier,11/12/14,1540
,ESL Pro League Winter 2014/15 Polish Qualifier,11/12/14,1541
,ESL Pro League Winter 2014/15 Iberian Qualifier,11/13/14,1542
,ESL Pro League Winter 2014/15 German Qualifier,11/14/14,1543
,Virtus.pro Staff Cup #1,11/15/14,1544
,GamersImpact Charity Drive,11/15/14,1545
,Go4CS:GO Cup #121,11/16/14,1546
,Millenium Showmatch #3,11/18/14,1547
,BenQ All-Star Showmatch #2,11/17/14,1548
,LVP Gamergy Qualifier #3,11/19/14,1551
,CEVO Professional Season 6 Placement,11/19/14,1552
,DreamHack Winter 2014,11/27/14,1553
,ESL Pro League Winter 2014/15 European Qualifier,11/20/14,1554
,DreamHack Winter 2014 Last Call Qualifier,11/22/14,1555
,Orena LifeChild Invitational,11/23/14,1556
,Insomnia 53,11/23/14,1557
,SLTV ProSeries XI,11/24/14,1558
,Go4CS:GO Cup #122,11/24/14,1559
,Go4CS:GO Europe Pro League Winter 2014 Group Final,11/24/14,1560
,99Damage Arena #1,11/24/14,1561
